iter	Passed	Remaining
969	66274	2049
970	66334	1981
971	66394	1912
972	66451	1843
973	66501	1775
974	66557	1706
975	66618	1638
976	66681	1569
977	66761	1501
978	66841	1433
979	66917	1365
980	66985	1297
981	67059	1229
982	67123	1160
983	67193	1092
984	67263	1024
985	67331	956
986	67402	887
987	67474	819
988	67543	751
989	67614	682
990	67681	614
991	67754	546
992	67832	478
993	67903	409
994	67969	341
995	68036	273
996	68096	204
997	68156	136
998	68222	68
999	68290	0
